Department of General Services - Procurement Division (DGS-PD),,,,,,,,,,,,,
STATE CONTRACTS INDEX LISTING,,,,,,,,,,,,,
The State Contracts Index Listing identifies current Leveraged Procurement Agreements (LPAs). Questions? Contact the Contract Administrator or PDWebmaster@dgs.ca.gov,,,,,,,,,,,,,
"To access individual LPA contract documents and User Instructions, click the direct link in the next cell or go to Cal eProcure (Contract Search): ",,,,,,Cal eProcure (State Contracts Search),,,,,,,
Blank cells indicate no applicable data. Click on contract type acronym in table for definition.,,,,,,,,,,,,,
LAST UPDATED: 12/15/2022,,,,,,,,,,,,,
"Contract Type  
(DGS use only)",Commodity/Service Description,Contract Number,Contractor Name,Contract Start Date,Contract End Date,Extensions Possible (Yes/No),"Mandatory 
(Yes/No)","State Users (Statewide/
Dept Use Only)",Open to Local Agencies  (Yes/No),State Contract Administrator,Phone,"Environmentally Preferable Purchasing
(EPP) Compliant
(Click link to access Buying Green website)","Rebid Information
(Click link to access solicitation)"
SC,"Vehicles, Trucks",1-22-23-20H,CA Car Group,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Robb Parkison,(279) 946-8302,EPP,
SC,"Vehicles, Trucks",1-22-23-20I,"Riverview International Trucks, LLC",5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Trucks",1-22-23-20J,Sacramento Truck Center,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Trucks",1-22-23-20K,Bonander Trucks,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Robb Parkison,(279) 946-8302,EPP,
SC,"Vehicles, Vans & SUV",1-22-23-23A,Lithia Nissan of Fresno,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Vans & SUV",1-22-23-23B,Ocean Honda,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Vans & SUV",1-22-23-23C,Freeway Toyota,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Vans & SUV",1-22-23-23D,Winner Chevrolet,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Vans & SUV",1-22-23-23E,Elk Grove Auto Group,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Vans & SUV",1-22-23-23F,Downtown Ford Sales,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Vans & SUV",1-22-23-23G,Watsonville Fleet Group,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Vans & SUV",1-22-23-23H,US Fleet Source,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Vans & SUV",1-22-23-23I,CA Car Group,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Robb Parkison,(279) 946-8302,EPP,
SC,"Vehicles, Zero Emission Transit Buses (ZEBs)",1-20-23-17A,BYD Coach and Bus LLC,8/17/2020,8/16/2023,Yes,No,Nationwide,Yes,Erica Seghesio-Groves,(279) 946-8022,EPP,
SC,"Vehicles, Zero Emission Transit Buses (ZEBs)",1-19-23-17B,"New Flyer of America, Inc.",12/16/2019,12/15/2023,Yes,No,Nationwide,Yes,Erica Seghesio-Groves,(279) 946-8022,EPP,
SC,"Vehicles, Zero Emission Transit Buses (ZEBs)",1-19-23-17C,"Proterra Operating Company, Inc.",12/16/2019,12/15/2023,Yes,No,Nationwide,Yes,Erica Seghesio-Groves,(279) 946-8022,EPP,
SC,Wireless Mobile Video and Audio Recording System (WMVARS),1-19-58-70,"Coban Technologies, Inc. ",6/17/2019,6/16/2023,Yes,Yes,CHP Only,Yes,Robb Parkison,(279) 946-8302,,
Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank
SC-Food,Beverage Base (Sugar-Free),1-22-89-70,SAN JOAQUIN DISTRIBUTORS INC,4/1/2022,3/31/2023,Yes,Yes,Statewide,No,Jennifer Jee,(279) 946-8082,,
SC-Food,"Bread, Buns, Rolls and Muffins",1-21-89-50A,BIMBO BAKERIES USA INC,10/1/2021,9/30/2023,No,Yes,Statewide,No,Brooklin Gardner,(279) 946-7929,,
SC-Food,"Bread, Buns, Rolls and Muffins",1-21-89-50B,SEACAT ENTERPRISES,10/1/2021,9/30/2023,No,Yes,Statewide,No,Brooklin Gardner,(279) 946-7929,,
SC-Food,Bulk Grains,1-22-89-59,ADOLPH INC,1/1/2022,12/31/2022,Yes,Yes,Statewide,No,Jennifer Balluch,(279) 946-8079,,
SC-Food,"Cereal, Ready to Eat",1-22-89-110,CB ENTERPRISES,7/1/2022,6/30/2023,Yes,Yes,Statewide,No,Brooklin Gardner,(279) 946-7929,,
SC-Food,Cheese,1-21-89-07,MERIDIAN FOOD SERVICES INC.,10/1/2021,9/30/2023,No,Yes,Statewide,No,Jennifer Balluch,(279) 946-8079,,
SC-Food,"Condiments, Individual Serving Packets",1-21-89-13,TRADE VENTURES INTERNATIONAL dba Intersect USA,10/1/2021,9/30/2023,No,Yes,Statewide,No,Ashley Lockwood,(279) 946-7913,,
SC-Food,Crackers,1-22-89-06,ADOLPH INC,1/1/2022,12/31/2022,Yes,Yes,Statewide,No,Jennifer Jee,(279) 946-8082,,
SC-Food,Dehydrated Potatoes,1-22-89-02,SAN JOAQUIN DISTRIBUTORS INC,4/1/2022,3/31/2023,Yes,Yes,Statewide,No,Ashley Lockwood,(279) 946-7913,,
SC-Food,Dehydrated Vegetarian Soup Base,1-21-89-38,SAN JOAQUIN DISTRIBUTORS INC,7/1/2021,6/30/2023,No,Yes,Statewide,No,Brooklin Gardner,(279) 946-7929,,
SC-Food,Dried Legumes,1-21-89-69,Trade Ventures Int'l dba Intersect USA,10/1/2021,9/30/2023,No,Yes,Statewide,No,Renea Hatcher,(279) 799-4005,,
SC-Food,Dry Bakery Mixes,1-21-89-134,SAN JOAQUIN DISTRIBUTORS INC,4/1/2021,3/31/2023,No,Yes,Statewide,No,Jennifer Jee,(279) 946-8082,,
SC-Food,Frozen Dietary Meals,1-20-89-99,SAN JOAQUIN DISTRIBUTORS INC,7/1/2020,6/30/2023,Yes,Yes,Statewide,No,Jennifer Balluch,(279) 946-8079,,
SC-Food,Frozen Fish,1-21-89-85,SEAFOOD DIMENSIONS INTERNATIONAL INC,7/1/2021,6/30/2023,No,Yes,Statewide,No,Ashley Lockwood,(279) 946-7913,,
SC-Food,Frozen Potato Products,1-22-89-55,FRENCH FRY XPRESS,4/1/2022,3/31/2023,Yes,Yes,Statewide,No,Brooklin Gardner,(279) 946-7929,,
SC-Food,Frozen Vegetables and Fruits,1-21-89-52,FOOD SERVICE SYSTEMS INC,11/15/2021,9/30/2023,No,Yes,Statewide,No,Ashley Lockwood,(279) 946-7913,,
SC-Food,"Frozen Waffles, Pancakes & French Toast",1-22-89-65,CB ENTERPRISES,7/1/2022,6/30/2023,Yes,Yes,Statewide,No,Ashley Lockwood,(279) 946-7913,,
SC-Food,Gelatin,1-21-89-31,SAN JOAQUIN DISTRIBUTORS INC,7/1/2021,6/30/2023,No,Yes,Statewide,No,Jennifer Balluch,(279) 946-8079,,
SC-Food,Grill Oil,1-21-89-123,ADOLPH INC,10/1/2021,9/30/2023,No,Yes,Statewide,No,Jennifer Balluch,(279) 946-8079,,
SC-Food,Individually Wrapped Lunchmeat & Cheese,1-21-89-126,SAN JOAQUIN DISTRIBUTORS INC,4/2/2021,3/31/2023,No,Yes,Statewide,No,Jennifer Jee,(279) 946-8082,,
SC-Food,"Kosher Meals, Frozen",1-20-89-136,SEAFOOD DIMENSIONS INTERNATIONAL INC,1/1/2020,9/30/2023,No,Yes,Statewide,Yes,Jennifer Balluch,(279) 946-8079,,
SC-Food,Margarine & Buttery Spreads,1-21-89-03,ADOLPH INC,1/1/2021,12/31/2022,No,Yes,Statewide,No,Jennifer Balluch,(279) 946-8079,,
SC-Food,"Mayonnaise,Salad Dressing, Tartar Sauce",1-21-89-05,INTERSECT USA,7/1/2021,6/30/2023,No,Yes,Statewide,No,Brooklin Gardner,(279) 946-7929,,
SC-Food,Mexican Entrees,1-22-89-41,SEAFOOD DIMENSIONS INTERNATIONAL INC,10/1/2022,9/30/2023,Yes,Yes,Statewide,No,Jennifer Jee,(279) 946-8082,,
SC-Food,Miscellaneous Food Contract,1-22-89-15A,US FOODS INC,11/25/2022,12/31/2024,No,No,Statewide,Yes,Jennifer Jee,(279) 946-8082,,
SC-Food,"Pantry Items (Flavorings & Jelly, Bulk)",1-21-89-135A,CB ENTERPRISES,4/21/2021,3/31/2023,No,Yes,Statewide,No,Jennifer Balluch,(279) 946-8079,,
SC-Food,Pantry Items (Pickles & Relish and Table Sauces & Vinegar),1-21-89-135B,SAN JOAQUIN DISTRIBUTORS INC,4/21/2021,3/31/2023,No,Yes,Statewide,No,Jennifer Balluch,(279) 946-8079,,
SC-Food,Pasta,1-21-89-10,SAN JOAQUIN DISTRIBUTORS INC,10/1/2021,9/30/2023,No,Yes,Statewide,No,Jennifer Jee,(279) 946-8082,,
SC-Food,"Pizza, Individual Serving, Frozen",1-21-89-60,SEAFOOD DIMENSIONS INTERNATIONAL INC,1/1/2021,12/31/2022,No,Yes,Statewide,No,Ashley Lockwood,(279) 946-7913,,
SC-Food,"Potato/Corn Chips, Pretzels, & Snack Items",1-22-89-20,ADOLPH INC,4/1/2022,3/31/2023,Yes,Yes,Statewide,No,Ashley Lockwood,(279) 946-7913,,
SC-Food,Powdered Milk,1-22-89-127,GE GOVERNMENT SUPPLY LLC,1/1/2022,12/31/2022,Yes,Yes,Statewide,No,Brooklin Gardner,(279) 946-7929,,
SC-Food,Pudding Mix,1-21-89-12,SAN JOAQUIN DISTRIBUTORS INC,7/1/2021,6/30/2023,No,Yes,Statewide,No,Jennifer Jee,(279) 946-8082,,
SC-Food,"Pudding, Ready to Serve",1-21-89-76,SAN JOAQUIN DISTRIBUTORS INC,7/1/2021,6/30/2023,No,Yes,Statewide,No,Jennifer Jee,(279) 946-8082,,
SC-Food,"Rice, Milled",1-22-89-58,ADOLPH INC,10/1/2022,9/30/2023,Yes,Yes,Statewide,No,Brooklin Gardner,(279) 946-7929,,
SC-Food,Shortening & Salad Oil,1-21-89-47,SAN JOAQUIN DISTRIBUTORS INC,1/1/2021,12/31/2022,No,Yes,Statewide,No,Brooklin Gardner,(279) 946-7929,,
SC-Food,Spices,1-21-89-35,SAN JOAQUIN DISTRIBUTORS INC,4/1/2021,3/31/2023,No,Yes,Statewide,No,Brooklin Gardner,(279) 946-7929,,
SC-Food,Sugar,1-22-89-53,ADOLPH INC,4/1/2022,3/31/2023,Yes,Yes,Statewide,No,Brooklin Gardner,(279) 946-7929,,
SC-Food,Tortillas & Taco Shells,1-22-89-62,ADOLPH INC,10/1/2022,9/30/2023,Yes,Yes,Statewide,No,Jennifer Jee,(279) 946-8082,,
SC-Food,"Tuna, Canned & Pouched",1-22-89-24,SEAFOOD DIMENSIONS INTERNATIONAL INC,1/1/2022,12/31/2022,Yes,Yes,Statewide,No,Ashley Lockwood,(279) 946-7913,,
SC-Food,"Turkey, Frozen & Processed",1-22-89-124,CB ENTERPRISES,7/1/2022,6/30/2023,Yes,Yes,Statewide,No,Jennifer Balluch,(279) 946-8079,,
Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank
RSLM,"Water, Drinking, Bottled",1-21-89-200A,CHAMELEON BEVERAGE COMPANY INC.,11/1/2021,10/31/2024,Yes,No,Statewide,No,Gwendolyn Henry,279-946-8042,,In Development
Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank
MA,Assessment and Monitoring Services for Disaster Debris and Hazard Tree Removal,5-22-99-33-01,"Arcadis U.S., Inc.",5/24/2022,5/14/2024,Yes,CalOES and CalRecycle Only,Statewide,Yes,Tina Larios,(279) 946-8367,,
MA,Assessment and Monitoring Services for Disaster Debris and Hazard Tree Removal,5-22-99-33-02,"CDR Maguire, Inc.",5/24/2022,5/14/2024,Yes,CalOES and CalRecycle Only,Statewide,Yes,Tina Larios,(279) 946-8367,,
MA,Assessment and Monitoring Services for Disaster Debris and Hazard Tree Removal,5-22-99-33-03,Task Force 7 Ltd. Liability Co.,5/24/2022,5/14/2024,Yes,CalOES and CalRecycle Only,Statewide,Yes,Tina Larios,(279) 946-8367,,
MA,Assessment and Monitoring Services for Disaster Debris and Hazard Tree Removal,5-22-99-33-04,"Tetra Tech, Inc.",5/24/2022,5/14/2024,Yes,CalOES and CalRecycle Only,Statewide,Yes,Tina Larios,(279) 946-8367,,
MA,Assessment and Monitoring Services for Disaster Debris and Hazard Tree Removal,5-22-99-33-05,"Thompson Consulting Services, LLC",5/24/2022,5/14/2024,Yes,CalOES and CalRecycle Only,Statewide,Yes,Tina Larios,(279) 946-8367,,
MA,Assessment and Monitoring Services for Disaster Debris and Hazard Tree Removal,5-22-99-33-06,"Weston Solutions, Inc.",5/24/2022,5/14/2024,Yes,CalOES and CalRecycle Only,Statewide,Yes,Tina Larios,(279) 946-8367,,
MA,Assessment and Monitoring Services for Disaster Debris and Hazard Tree Removal,5-22-99-33-07,"Witt O'Brien's, LLC",5/24/2022,5/14/2024,Yes,CalOES and CalRecycle Only,Statewide,Yes,Tina Larios,(279) 946-8367,,
MA,Assessment and Monitoring Services for Disaster Debris and Hazard Tree Removal,5-22-99-33-08,"WSP USA Solutions, Inc.",5/24/2022,5/14/2024,Yes,CalOES and CalRecycle Only,Statewide,Yes,Tina Larios,(279) 946-8367,,
MA,Certified Shorthand Reporters & Other Associated Services,,,,,,,,,Tina Larios,(279) 946-8367,,In Development
MA,Commercial Car Rental (CCR) Services,5-20-99-24,"EAN Services, LLC (Enterprise Rent-A-Car and National Car Rental)",2/26/2021,2/29/2024,Yes,Yes,Statewide,Yes,Statewide Travel Program,(916) 376-3974,,
MA,Credit Card Acceptance (American Express Card),5-09-99-01,"American Express Travel Related Services, Inc.",7/1/2009,6/30/2027,Yes,Yes,Statewide,Yes,Robert Cosgrove,(279) 946-8303,,Extension in Progress
MA,Electronic Information Library Services,5-17-70-11,"West Publishing Corporation dba West, A Thomson Reuters Business",7/1/2017,6/30/2023,Yes,No,Statewide,Yes,Robert Cosgrove,(279) 946-8303,,In Development
MA,Electronic Information Library Services,5-17-70-12,RELX Inc.,12/12/2017,12/31/2022,Yes,No,Statewide,Yes,Robert Cosgrove,(279) 946-8303,,In Development
MA,Electronic Payment Acceptance Services (EPAY),5-22-70-22-01,Elavon Inc.,6/1/2022,6/1/2027,Yes,Yes,Statewide,Yes,Lynnell Cuthbertson,(279) 799-3844,,
MA,Fleet Card Services (State Fleet Card Program),5-19-99-19,"WEX, Inc.",7/1/2021,6/30/2025,Yes,Yes,Statewide,Yes,State Fleet Card Program,n/a,,
MA,Office Moving Services,,,,,,,,,Tiffany Reyes,279-946-8364,,In Development
MA,On-Site Confidential Destruction Services,5169914-01,Confidential Document Control,2/12/2018,12/30/2022,No,No,Statewide,Yes,Tina Larios,(279) 946-8367,,Event ID 5229935
MA,On-Site Confidential Destruction Services,5169914-03,Southern California Shredding Inc.,2/12/2018,12/30/2022,No,No,Statewide,Yes,Tina Larios,(279) 946-8367,,Event ID 5229935
MA,Payment Acceptance Devices (PADS) and Transit Processor Services (Local Transit Agency use only),5-21-70-28-01,"Init Innovations in Transportation, Inc.",3/1/2022,2/28/2027,Yes,No,Locals only / Nationwide,Yes,Lynnell Cuthbertson,(279) 799-3844,,
MA,Payment Acceptance Devices (PADS) and Transit Processor Services (Local Transit Agency use only),5-21-70-28-02,"Kuba, Inc.",3/1/2022,2/28/2027,Yes,No,Locals only / Nationwide,Yes,Lynnell Cuthbertson,(279) 799-3844,,
MA,Payment Acceptance Devices (PADS) and Transit Processor Services (Local Transit Agency use only),5-21-70-28-03,SCSOFT Americas LLC,3/1/2022,2/28/2027,Yes,No,Locals only / Nationwide,Yes,Lynnell Cuthbertson,(279) 799-3844,,
MA,Payment Acceptance Devices (PADS) and Transit Processor Services (Local Transit Agency use only),5-21-70-28-04,"Bytemark, Inc.",3/1/2022,2/28/2027,Yes,No,Locals only / Nationwide,Yes,Lynnell Cuthbertson,(279) 799-3844,,
MA,Payment Acceptance Devices (PADS) and Transit Processor Services (Local Transit Agency use only),5-21-70-28-05,Enghouse Transportation LLC,3/1/2022,2/28/2027,Yes,No,Locals only / Nationwide,Yes,Lynnell Cuthbertson,(279) 799-3844,,
MA,Payment Acceptance Devices (PADS) and Transit Processor Services (Local Transit Agency use only),5-21-70-28-06,Littlepay Inc.,3/1/2022,2/28/2027,Yes,No,Locals only / Nationwide,Yes,Lynnell Cuthbertson,(279) 799-3844,,
MA,"Technology, Digital and Data Consulting Services (TDDC)",Various,Various (Refer to TDDC website),4/21/2022,4/20/2025,Yes,No,Statewide,Yes,DGSITConsultingMSA@dgs.ca.gov,(916) 375-4365,,
MA,Temporary Medical Staffing Services,5179913-01,"AB Staffing Solutions, LLC",2/18/2020,10/31/2023,Yes,No,Statewide,Yes,Tina Larios,(279) 946-8367,,
MA,Temporary Medical Staffing Services,5179913-02,"AH Staffing, LLC",11/25/2019,10/31/2023,Yes,No,Statewide,Yes,Tina Larios,(279) 946-8367,,
MA,Temporary Medical Staffing Services,5179913-04,"KPG Healthcare, LLC",2/18/2020,10/31/2023,Yes,No,Statewide,Yes,Tina Larios,(279) 946-8367,,
MA,Temporary Medical Staffing Services,5179913-06,"Premier Staffing Source, Inc.",11/25/2019,10/31/2023,Yes,No,Statewide,Yes,Tina Larios,(279) 946-8367,,
MA,Temporary Medical Staffing Services,5179913-07,"Professional Resource Enterprises, Inc. dba UNI",11/25/2019,10/31/2023,Yes,No,Statewide,Yes,Tina Larios,(279) 946-8367,,
MA,Temporary Medical Staffing Services,5179913-10,Worldwide Travel Staffing LTD,11/25/2019,10/31/2023,Yes,No,Statewide,Yes,Tina Larios,(279) 946-8367,,
MA,Unarmed Security Guard Services,5189916-05,Allied Universal Security Services,3/1/2019,3/1/2023,Yes,No,Statewide,Yes,Kush Kishor,(279) 946-8161,,
MA,Unarmed Security Guard Services,5189916-03,"Inter-Con Security Systems, Inc.",3/1/2019,3/1/2025,Yes,No,Statewide,Yes,Kush Kishor,(279) 946-8161,,
MA,Unarmed Security Guard Services,5189916-01,National Security Services,3/1/2019,3/1/2025,Yes,No,Statewide,Yes,Kush Kishor,(279) 946-8161,,
MA,Unarmed Security Guard Services,5189916-02,"Platinum Security, Inc.",3/1/2019,3/1/2025,Yes,No,Statewide,Yes,Kush Kishor,(279) 946-8161,,
MA,Unarmed Security Guard Services,5189916-04,Triple Canopy Inc. ,3/1/2019,3/1/2025,Yes,No,Statewide,Yes,Kush Kishor,(279) 946-8161,,
Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank
COOP,Audio Video Equipment and Supplies,7-21-70-48-01,Audio Enhancement Inc.,7/27/2021,9/30/2023,Yes,No,Statewide,Yes,Maureen Seiferling,(279) 946-8226,,
COOP,Audio Video Equipment and Supplies,7-21-70-48-02,B & H Foto & Electronics Corp,7/27/2021,9/30/2023,Yes,No,Statewide,Yes,Maureen Seiferling,(279) 946-8226,,
COOP,Audio Video Equipment and Supplies,7-21-70-48-03,CDW Government LLC,7/27/2021,9/30/2023,Yes,No,Statewide,Yes,Maureen Seiferling,(279) 946-8226,,
COOP,Automotive Parts,7-21-99-41-01,Factory Motor Parts,10/20/2021,10/19/2024,Yes,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Automotive Parts,7-21-99-41-02,NAPA Auto Parts,10/20/2021,10/19/2024,Yes,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Automotive Parts,7-21-99-41-03,Parts Authority LLC,10/22/2021,10/19/2024,Yes,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Cloud Solutions,7-17-70-40-01,"Insight Public Sector, Inc.",9/20/2017,9/15/2026,No,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Cloud Solutions,7-17-70-40-02,Broadvoice,9/15/2017,9/15/2026,No,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Cloud Solutions,7-17-70-40-03,"Quest Media & Supplies, Inc.",9/15/2017,9/15/2026,No,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Cloud Solutions,7-17-70-40-04,Strategic Communications LLC,9/15/2017,9/15/2026,No,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Cloud Solutions,7-17-70-40-05,Carahsoft Technology Corporation,9/15/2017,9/15/2026,No,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Cloud Solutions,7-17-70-40-06,Unisys Corporation,9/15/2017,9/15/2026,No,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Cloud Solutions,7-17-70-40-08,"The Consultants Consortium, Inc.",9/15/2017,9/15/2026,No,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Cloud Solutions,7-17-70-40-09,"DLT Solutions, LLC",10/5/2017,9/15/2026,No,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Cloud Solutions,7-17-70-40-10,"GuideSoft, Inc.",10/3/2017,9/15/2026,No,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Cloud Solutions,7-18-70-40-01,ATOS IT Solutions & Services LLC,11/14/2018,9/15/2026,No,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Cloud Solutions,7-21-70-40-11,Hewlett Packard Enterprise Company,8/19/2021,9/15/2026,No,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Cloud Solutions,7-21-70-40-12,Red River Technology LLC,8/17/2021,9/15/2026,No,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Cloud Solutions,7-21-70-40-13,CherryRoad Technologies Inc.,8/17/2021,9/15/2026,No,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Cloud Solutions,7-21-70-40-14,NWN Solutions Corporation,2/24/2022,9/15/2026,No,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Computer Equipment (Local Agencies Only),Various,Various (Contact State Contract Administrator),Various,2/28/2023,No,No,Locals Only,Yes,Julie Matthews,(279) 946-8118,,In Development
COOP,Construction Equipment,7-22-99-46-01,Case Construction Equipment,3/11/2022,4/10/2023,Yes,No,Statewide,Yes,Pang Moua,(279) 946-7835,,
COOP,Construction Equipment,7-22-99-46-02,Bobcat Company,3/11/2022,4/30/2023,Yes,No,Statewide,Yes,Pang Moua,(279) 946-7835,,
COOP,Construction Equipment,7-22-99-46-03,New Holland Agriculture,3/25/2022,4/10/2023,Yes,No,Statewide,Yes,Pang Moua,(279) 946-7835,,
COOP,Copiers and Managed Print Services,7-19-70-46-01,"Canon U.S.A., Inc.",12/20/2019,7/31/2024,Yes,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Copiers and Managed Print Services,7-19-70-46-02,HP Inc. dba HP Computing and Printing,12/20/2019,7/31/2024,Yes,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Copiers and Managed Print Services,7-19-70-46-03,"Konica Minolta Business Solutions U.S.A., Inc.",12/20/2019,7/31/2024,Yes,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Copiers and Managed Print Services,7-19-70-46-04,"Kyocera Document Solutions America, Inc.",12/20/2019,7/31/2024,Yes,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Copiers and Managed Print Services,7-19-70-46-05,Lexmark International Inc.,1/28/2020,7/31/2024,Yes,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Copiers and Managed Print Services,7-19-70-46-06,"Ricoh USA, Inc.",12/20/2019,7/31/2024,Yes,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Copiers and Managed Print Services,7-19-70-46-07,Sharp Electronics Corporation,12/30/2019,7/31/2024,Yes,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Copiers and Managed Print Services,7-19-70-46-08,"Toshiba America Business Solutions, Inc.",12/20/2019,7/31/2024,Yes,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Copiers and Managed Print Services,7-19-70-46-09,Xerox Corporation,12/20/2019,7/31/2024,Yes,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Data Communications,7-20-70-47-01,Cisco Systems Inc.,6/1/2021,9/30/2024,Yes,No,Statewide,Yes,Julie Matthews,(279) 946-8118,,
COOP,Data Communications,7-20-70-47-02,"Cradlepoint, Inc.",7/2/2020,9/30/2024,Yes,No,Statewide,Yes,Julie Matthews,(279) 946-8118,,
COOP,Data Communications,7-20-70-47-03,"Extreme Networks, Inc.",6/18/2020,9/30/2024,Yes,No,Statewide,Yes,Julie Matthews,(279) 946-8118,,
COOP,Data Communications,7-20-70-47-04,Hewlett Packard Enterprise Company,6/1/2020,9/30/2024,Yes,No,Statewide,Yes,Julie Matthews,(279) 946-8118,,
COOP,Data Communications,7-20-70-47-05,NEC Corporation of America,7/16/2020,9/30/2024,Yes,No,Statewide,Yes,Julie Matthews,(279) 946-8118,,
COOP,Data Communications,7-20-70-47-06,Palo Alto Networks,6/1/2020,9/30/2024,Yes,No,Statewide,Yes,Julie Matthews,(279) 946-8118,,
COOP,Data Communications,7-20-70-47-07,"Juniper Networks (US), Inc.",6/3/2021,9/30/2024,Yes,No,Statewide,Yes,Julie Matthews,(279) 946-8118,,
COOP,"Facilities, Maintenance, Lighting Products, Industrial Supplies and Tools ",7-18-51-01,Fastenal Company,7/1/2018,6/30/2023,No,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,"Facilities, Maintenance, Lighting Products, Industrial Supplies and Tools ",7-18-51-02,Grainger Inc.,7/1/2018,6/30/2023,No,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,"Facilities, Maintenance, Lighting Products, Industrial Supplies and Tools ",7-18-51-03,"SID Tool Co., dba MSC Industrial Supply Company",7/1/2018,6/30/2023,No,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,"Facilities, Maintenance, Lighting Products, Industrial Supplies and Tools ",7-18-51-04,Noble Sales Company Inc.,7/27/2018,6/30/2023,No,No,Statewide,Yes,Yolanda Tutt,(279) 946-8401,,
COOP,Financial Institution Data Match (FIDM) Services,7-22-70-51-01,"Informatix, Inc.",7/1/2022,6/30/2029,No,No,Statewide,No,Pang Moua,(279) 946-7835,,
COOP,Laboratory Equipment and Supplies ,7-16-99-26-01,VWR International LLC,6/6/2016,3/31/2023,Yes,No,Statewide,Yes,Pang Moua,(279) 946-7835,,In Development
COOP,Laboratory Equipment and Supplies ,7-16-99-26-02,Fisher Scientific Company LLC,7/12/2016,3/31/2023,Yes,No,Statewide,Yes,Pang Moua,(279) 946-7835,,In Development
COOP,Laboratory Equipment and Supplies ,7-17-99-26-03,Nikon Instruments Inc.,12/21/2017,3/31/2023,Yes,No,Statewide,Yes,Pang Moua,(279) 946-7835,,In Development
